,sentence,label,tones
0,i didnt feel humiliated,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.88939,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.656555,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.963147,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
2,im grabbing a minute to post i feel greedy wrong,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.55903,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.683655,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.620279,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
4,i am feeling grouchy,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.752809,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      },      {        ""score"": 0.789079,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
5,ive been feeling a little burdened lately wasnt sure why that was,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.852664,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.556444,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,surprise,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.529009,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.786991,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
7,i feel as confused about life as a teenager or as jaded as a year old man,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.707291,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.954099,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.678632,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
9,i feel romantic too,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.880435,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.88939,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
10,i feel like i have to make the suffering i m seeing mean something,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.793739,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.890188,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.681699,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
12,i think it s the easiest time of year to feel dissatisfied,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.533657,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.620279,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
13,i feel low energy i m just thirsty,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.961411,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.573972,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.563171,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
15,i do not feel reassured anxiety is on each side,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.857848,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      }    ]  }}"
16,i didnt really feel that embarrassed,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.842108,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.75152,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
17,i feel pretty pathetic most of the time,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.635044,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.984352,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.642558,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
19,i now feel compromised and skeptical of the value of every unit of work i put in,fear,"{  ""document_tone"": {    ""tones"": []  }}"
20,i feel irritated and rejected without anyone doing anything or saying anything,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.996505,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.577616,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
22,i have the feeling she was amused and delighted,joy,"{  ""document_tone"": {    ""tones"": []  }}"
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.650977,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
24,i already feel like i fucked up though because i dont usually eat at all in the morning,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.521138,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.527711,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      }    ]  }}"
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.968123,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
