,sentence,label,tones
1500,i feel what the law states suggestions is optimistic and beneficial for employees specially all those who wish to rapidly through ramadan he or she said,joy,"{  ""document_tone"": {    ""tones"": []  }}"
1501,i feel on the verge of tears from weariness i look at your sweet face and cant help but tenderly kiss your cheeks,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.738406,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.788547,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1502,i hope you can feel the presence of loved ones right by your side cheering you on and wanting the best for you cos youre not on your own you never are d,love,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.779468,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      }    ]  }}"
1503,i was feeling brave tonight so i decided to go for my nd attempt at a vlog,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.825947,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1504,i was feeling melancholy on a cloudy rainy lonely easter sunday,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.712168,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      }    ]  }}"
1505,i now feel like i look really ugly some people think i look retarted,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.522913,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.931276,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      },      {        ""score"": 0.716301,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1506,i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.769251,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1507,i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.510496,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.528993,        ""tone_id"": ""anger"",        ""tone_name"": ""Anger""      }    ]  }}"
1508,i feel like it here are ten of the many sites that keep me entertained on a daily basis,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.724236,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1509,i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.570354,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.681699,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1510,i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.543092,        ""tone_id"": ""sadness"",        ""tone_name"": ""Sadness""      },      {        ""score"": 0.654488,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
1511,i go to little tiny andover and take a walk at night i feel absolutely terrified,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.64451,        ""tone_id"": ""fear"",        ""tone_name"": ""Fear""      },      {        ""score"": 0.704642,        ""tone_id"": ""confident"",        ""tone_name"": ""Confident""      }    ]  }}"
1512,i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes,fear,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.622136,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.852865,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1513,i love that she doesnt always feel brave,joy,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.913465,        ""tone_id"": ""joy"",        ""tone_name"": ""Joy""      },      {        ""score"": 0.924206,        ""tone_id"": ""tentative"",        ""tone_name"": ""Tentative""      }    ]  }}"
1514,i live out number two definition which is that i have already had trouble engaging in the evening so now i am feeling as if the reason the aim for which i did this was not achieved and i am now unsuccessful,sadness,"{  ""document_tone"": {    ""tones"": [      {        ""score"": 0.670204,        ""tone_id"": ""analytical"",        ""tone_name"": ""Analytical""      }    ]  }}"
